Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Industry,Sector,Revenue
Contract - Data Scientist,Employer Provided Salary:$75.00 - $100.00 Per Hour,"The Contract - Data Scientist role is a short-term contract position with an expected duration of approximately 5 months. This role will combine data science, machine learning and engineering as well as ability to create a simple WebApp to solve critical path challenges for health care professionals. As the Covid Pandemic highlighted, healthcare providers need to be able to quickly identify unavailable medical products and source clinically equivalent medical products. The role will take existing data and infrastructure to complete and improve a rudimentary existing solution. Determining the orderability of a medical product and identifying clinically equivalent substitutes are challenging problems that can be solved through clever use of machine learning data science.
Essential Duties:
Work with SMEs to understand backorders and substitutions.",3.6,"GHX
3.6","Louisville, CO",501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
E-commerce Data Scientist,Employer Provided Salary:$153K - $332K,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

We are looking for Data Scientists to join our Global e-commerce Data Science team. The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users. We are looking for passionate and talented people to join our product and operations team, together we can build an e-commerce ecosystem that is innovative, secure and intuitive for our users.


Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at USRC@tiktok.com

#LI-Hybrid
Job Information
The base salary range for this position in the selected city is $153000 - $332000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



At ByteDance/TikTok our benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.5,"TikTok
3.5","San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Posit (formerly RStudio) creates great software that helps people understand data and make better decisions in real-world applications. Our core offering is an open source data science platform, and we aim to make it available to everyone, regardless of their economic means.
Posit is looking for a Data Scientist to join the Center of Excellence team to help deliver data-driven business decision making and deliver exceptional experiences to customers. This is a unique opportunity to grow the data science foundation working for a company that’s all about Data Science. You will work with Posit’s open-source and professional tools to transform raw data, build analyses and models, optimize campaigns and sales efforts, all the way up to designing and deploying executive and board dashboards. This is a critical role in helping Posit learn more about our business so that we can do a better job delivering on our mission.",4.8,"RStudio
4.8",Remote,201 to 500 Employees,2013,Company - Private,Software Development,Information Technology,$25 to $100 million (USD)
Data Scientist,$123K - $183K (Glassdoor est.),"Fullpower®-AI delivers a complete B2B IoT platform for AI-powered algorithms, remote contactless biosensing together with end-to-end engineering services, and customization of software in the field of life sciences, health, and biotechnology. Fullpower's platform is vetted and deployed as a PaaS, backed by a patent portfolio of 135+ patents, and is SOC 2 Type II certified. Fullpower's key areas of expertise include contactless biosensing, remote monitoring, non-invasive sleep technology, and the development of new technologies for others in the life sciences and biotechnology fields. Fullpower's B2B PaaS customers are in medical solutions, remote-contactless biosensing, bedding solutions, wearable, and wellness services.
Fullpower is seeking a passionate, team-oriented, and self-motivated Data Scientist interested in working on our next generation of products and algorithms and modeling rich, biomedical sensor data with a view toward medical, health, and fitness outcomes.",4.3,"Fullpower Technologies, Inc.
4.3","Santa Cruz, CA",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Data Scientist 2,Employer Provided Salary:$94K - $183K,"The Microsoft 365 team is looking for a Data Scientist 2 to help design and build one of the fastest growing cloud services in Microsoft. Do you want to design and develop new components that solve complex distributed systems and search optimization problems? Do you want to work on a product that ships new features every week? If the answer to these questions is yes, then the Microsoft 365 Storage Fabric team has an opportunity for you get in on designing and building a core part of the stack. We develop software from the ground-up, running across thousands of servers with oceans of data. We build and operate the largest enterprise cloud productivity system in the world. Across products such as Exchange, Teams, and SharePoint, we power communication, sharing, search, intelligent assistance for customers, extensibility through Microsoft Graph, and more. Throughout we maintain very high reliability and availability, privacy and compliance for customers, and latency in milliseconds. We apply a combination of approaches from the fields of API design, Machine Learning, Distributed Computing, Workflow engines, Algorithm Optimization, and many more. Come to define, design, and deliver what enterprise cloud productivity means.





Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,-1,"TSPi Position Description
TSPi is a leading-edge and trusted IT solutions provider to multiple government agencies. Using our technological expertise and industry specific knowledge, we offer our clients end-to-end solutions to address their specific challenges. We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to farming, conservation and environmental government missions.
The Data Scientist will be expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings. The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics. The Scientist will construct and perform complex database search queries in multiple databases using SQL and API interfaces. The Scientist will perform web scraping and apply various techniques for processing unstructured data. The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations. The Data Scientist will contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment. The Data Scientist will be expected to learn and leverage emerging technologies.",4.5,"Technology Solutions Provider Inc.
4.5",Remote,51 to 200 Employees,2001,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Principal Data Scientist,Employer Provided Salary:$130K - $218K,"Job Description:
Principal Data Scientist
Are you interested in joining a fast paced and innovative organization where you can make an immediate impact on the business? Do you want to be an AI/ML advocate, using data to answer important questions and shape strategy for leadership? You can be a part of the Artificial Intelligence Center of Excellence (AI CoE) within Fidelity Institutional (FI) that constantly pushes the potential of data to drive the business forward! At Fidelity Institutional’s Artificial Intelligence Center of Excellence (FI AI COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients and internal collaborators for years to come.
N/A
$130,000 - $218,000 per year
This position is eligible for incentive compensation or an annual bonus opportunity.
N/A
N/A",4.3,"Fidelity Investments
4.3","Westlake, TX",10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD)
Data Scientist,-1,"Anika Systems is looking for a passionate and talented Data Scientist to join our expanding Federal team. We are a fast-growing woman-owned small business providing innovative IT solutions for federal government agencies. This opportunity will be 100% remote.
Responsibilities:

Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures.

Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams.",4.5,"Anika Systems
4.5",Remote,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist,Employer Provided Salary:$59K - $82K,"Opening
Full Time 40 hours Grade 053 Office for Data Insights
Schedule
8 AM-5 PM
Responsibilities
GENERAL PURPOSE:
Under general direction and with considerable latitude for exercising independent initiative and judgment, the Data Scientist reports to the Director of the Office for Data Insights (ODI), working within a broader framework of reporting areas that include the Center for Integrated Research Computing (CIRC), Office of Institutional Research (OIR), and University Information Technology (UIT). ODI is responsible for providing advanced analytics, including modeling and simulation, to provide leadership with the information and insights required to make evidence-based decisions. As a member of this team, the Data Scientist will play a pivotal role in leveraging data analytics and machine learning techniques to support critical institutional initiatives.",3.6,"University of Rochester
3.6","Rochester, NY",10000+ Employees,1921,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Scientist,-1,"Description:
About ADRM
Founded in 2014, our mission is to disrupt the security industry, drive change and create a truly safer world. We protect organizations’ critical assets with data-driven risk management solutions. We specialize in providing not only traditional security consulting services but also unique and custom solutions for customers based on risk and need. We have industry leading clients in the Financial, Bio-Tech, Critical Infrastructure, and Higher Education sectors ranging from startups to Fortune 50 Corporations.
Our core values are seen in everything we do: Balance, Curiosity, Integrity, Respect, Team, and Trust. We are committed to living our values every day and in every action. We are in a period of profound growth, nearly doubling in size over the last year. We have a great Team at ADRM, and every team member is passionate about their work and the clients we serve. Team and family are important to us. We respect work-life balance and offer a comprehensive benefits package that includes 100% company paid monthly premiums for medical, dental, and vision benefits for you and your dependents.
Requirements:",-1,ADRM,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,"Bond's mission is to accelerate the pace of financial innovation and access to capital.
Today, it's difficult for many businesses to build the financial products they imagine. Whether that's launching a new credit or debit card, a savings account, a lending business, or anything else — there are barriers in the way. Bond is focused on helping brands, businesses, and banks hurdle over those roadblocks.
Bond makes it easy for businesses to compliantly offer financial products. We make integration to the myriad, often-antiquated financial vendors more streamlined and intuitive. And, we make regulatory compliance not only achievable, but accessible. Our platform streamlines the process of launching and iterating on financial products, thereby enabling digital brands to better engage their customers with unique financial products tailored to their needs.",2.4,"Bond Financial Technologies
2.4",Remote,1 to 50 Employees,2019,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable
Data Scientist,$71K - $103K (Glassdoor est.),"We offer challenging and rewarding opportunities in many locations globally. With offices in the US, India. At ITCS you will have the opportunity to work alongside team members who are experts in their field and innovators in many different areas of business and IT.

If you are looking for a good opportunities for advancement or progress in your career. ITCS is the place to be.
IT Requirements





IT Consulting Services Inc seeks Data Scientist for Fairless, PA office to apply algorithms to models predict outcomes of interest such as health, pharmaceutical, epidemiological and laboratory data for medical use. to apply sampling techniques to determine groups to be surveyed and use enumeration methods to better analyze future health trends. Clean and manipulate raw data using statistical software for better and more efficient health data and aid innovations in the pharmaceutical industry. May travel and relocate to various unanticipated sites throughout the US. Must have bachelorâ€™s degree in Biology, Pharmacy or related & 6 months of experience. Send resume to contacthr@itconsultservices.com.",4.5,"IT Consulting Services
4.5","Fairless Hills, PA",1 to 50 Employees,-1,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
Data Scientist III,Employer Provided Salary:$146K - $174K,"SoftDev is seeking a qualified candidate to serve as a Data Scientist Level III on a project with the Department of Health and Human Services (HHS) / Administration for Children and Family (ACF) to deliver critical analysis and data infrastructure projects. The individual will work directly with ACF offices to help implement high-priority and/or proof-of-concept analytics projects aligned with ACF's in-development data strategy.

Key Duties & Responsibilities:
Take various data sets (both public and private) from different sources from flat sheets to structured and unstructured databases to APIs, clean and transform them as needed to conduct descriptive analyses with thorough documentation.
Provide easily interpretable, repeatable analyses to answer a complex question.
Qualifications

Additional Notes

This opening is contingent upon contract award and is in direct support of a contract at the ACF.

SoftDev is strongly committed to the policies and principles of Equal Employment Opportunity (EEO). Employment decisions and practices, including but not limited to recruitment, selection, job assignment, transfer, promotion, discipline, training, compensation and benefits, will be made without regard to race, color, religious creed, national origin, sex, citizenship, genetic information, marital status, age, sexual orientation, disability and/or US Veteran status, in accordance with applicable Federal, State, and Local laws. SoftDev is an Equal Opportunity / Affirmative Action Employer.",3.7,"SoftDev Incorporated
3.7",Remote,1 to 50 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,Employer Provided Salary:$104K - $145K,"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for a Data Scientist in Janssen Business Technology located in Titusville, NJ.
At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found.
The Janssen Pharmaceutical Companies of Johnson & Johnson provide medicines for an array of health concerns in several therapeutic areas. Our ultimate goal is to help people live healthy lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market - from patients to practitioners, from clinics to hospitals. For more about the Pharmaceutical Companies of Johnson & Johnson, visit: http://www.janssenpharmaceuticalsinc.com/ .",4.2,"Johnson & Johnson
4.2","Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Mentor (Part-time),-1,"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

In 2022 we raised our Series B and there is even more exciting growth on the horizon. That year we expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.",4.4,"Pathrise
4.4",Remote,51 to 200 Employees,2017,Company - Private,Education & Training Services,Education,$1 to $5 million (USD)
"Data Scientist, Dependency Planning",Employer Provided Salary:$202K - $316K,"We are hiring a Product Data Scientist for the Coordinate Area in New York to join our new Dependency Planning team. The Coordinate Area has a mission to make it effortless to plan work, do work, and adapt plans together as a team. The Dependency Planning team's vision is to enable teams to plan their work and adapt those plans effortlessly in real-time. The team will achieve their vision by allowing users to model & visualize the relationships between projects, tasks, and time. As a data scientist for this team, you will be critical in informing the team's product strategy and roadmap through rigorous data analyses and insights.
The Data Science team at Asana is instrumental in enabling Asana's mission by instilling a data-influenced approach to building the product or business strategy, defining and measuring success metrics, learning, and iterating to deliver value to our users. Data Scientists closely partner with Product, Business, Design, Engineering, and other Data team members. We leverage experimentation, statistical modelling and machine learning techniques, causal inference, and data storytelling to deepen our understanding of Asana customers and make optimal decisions to drive more business value.",4.3,"Asana
4.3","New York, NY",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sr Data Scientist,$114K - $155K (Glassdoor est.),"IT is different here. Our work as technology specialists pushes the boundaries of what’s possible in health care. You will build solutions that make a real difference in people’s lives. Driven by the importance of their work, our team members innovate to elevate. We’re encouraged to be curious, collaborate, and turn ideas into solutions that can make health care better for all.

In this role you will identify, implement, and deliver accurate and quality analyses that translate data in sound organizational decisions. You will be critical in building out our NLP capabilities.

If you are ready to make a career out of making a difference, then you are the person for this team.

What You Will Do

Own delivery of large and/or complex data science and engineering projects

Lead in the development and testing of hypotheses across all functional data sets

Lead requirements gathering sessions with business and technical staff to distill technical requirement from business requests

Define and implement integrated data models, allowing integration of data from multiple sources

Design and develop scalable, efficient data pipeline processes to handle data ingestion, cleansing, transformation, integration, and validation

Define and implement data stores based on system requirements and consumer requirements

Design and develop models to understand and solve complex business solutions using a variety of methods including data mining, statistical analysis, predictive modeling and analysis, stochastic modeling, pattern recognition, probability analysis, and network analysis

Design and implement production models leveraging technologies such as Python, and R

Leverage existing data sets and engineer new data sets including development of SQL queries, data integration and resolution of data quality issues

Apply advanced conceptual understanding of Big Data systems to data set engineering and analytic model implementation

Lead reviews of analytic models and algorithms

Identify actionable insights, suggest recommendations, and influence business direction by effectively communicating results to cross functional groups

Document and test analytic processes including performance and thorough data validation and verification

What You Bring

Master's Degree in Data Science, Applied Mathematics, Computer science, Statistics, Biostatistics, Epidemiology, Health Services Research, or a field closely related to Data Science specialization, or equivalent combination of transferrable experience and education

5 years of the following with increasing scope of project responsibilities:

SQL programming (Advance SQL programming)

Demonstrated experience with design and implementation of analytic models and methodologies for new applications

Proficiency in Python

Advanced experience working with large and complex data sets to develop regression and classification models.

Deep knowledge of state-of-the art techniques in machine learning, statistics, optimization or related fields Demonstrated experience in successfully delivering data science projects.

Great to Have

Experience with Python analytics packages such as scikit-learn, NumPy, Pandas etc.

Experience leveraging NLP

Experience preparing data for analysis

Exposure to clinical, healthcare, or insurance data

Experience with Hadoop, Hive, and/or other Big Data technologies

Experience working in AWS and/or using Linux based systems

Expert at the execution of implementing models and methodologies on big data

Demonstrated experience performing data validation on prepared data sets

Familiarity with deep-learning modeling techniques and their application

Experience in software engineering practices and software development methodologies

Ability to communicate clearly and effectively both orally and in writing

Ability to work independently

Reliable task estimation skills

Excellent quantitative, problem solving and analytic skills

Ability to document data discovery findings, feature selection process, model determination process, and interpretation of insights

Ability to collaborate effectively with business stakeholders, performance consultants, data scientists, and other data engineers

Proficient in use of MS Office applications, including expert level Excel programming

Ability to quickly become expert in operational processes and data of lines of business

Ability to troubleshoot and document findings and recommendations

Comfortable briefing internal stakeholders on findings

Proactively communicate risks and problems to leadership

Ability to keep up with a rapidly evolving technology space",4.2,"Blue Cross and Blue Shield of North Carolina
4.2","Durham, NC",5001 to 10000 Employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
"HEALTHCARE DATA SCIENTIST, FCH - ENTERPRISE ANALYTICS",-1,"Discover. Achieve. Succeed. #BeHere

Location: US:WI:MILWAUKEE at our FROEDTERT HOSPITAL facility.
This job is REMOTE.
FTE: 1.000000
Shift: Shift 1
Froedtert Health, Inc. – Healthcare Data Scientist
Froedtert Health, Inc., in Wauwatosa, WI seeks a Healthcare Data Scientist to collaborate with clients, data stewards, project/program managers, and other analytics teams to turn data into critical information and knowledge to be used to make sound organizational decisions. Telecommuting from unanticipated worksites in employer-approved states in the U.S. (AZ, AR, CO, FL, GA, IL, IN, IA, LA, MD, MI, MN, MO, NY, NC, ND, OH, PA, SC, TN, TX, UT, WI and WY) is permitted with this position and up to 5% travel may be required to attend onsite Enterprise Analytics meetings at the Wauwatosa, WI location.",3.9,"Froedtert Health
3.9",Remote,1001 to 5000 Employees,1965,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Principal Data Scientist,Employer Provided Salary:$144K - $180K,"It's fun to work in a company where people truly BELIEVE in what they're doing!
Job Description Summary:
Job Overview:
Rocket's Data Modernization Business Unit aids customers in managing, governing, and maximizing the value of their enterprise data assets. Our clientele comprises many Fortune 500 companies, including some of the world's largest banks, insurance companies, and manufacturing organizations. We are currently seeking motivated and innovative individuals to join our applied machine learning team. This is an opportunity to play a crucial role in the continued evolution of our world-class solutions.

The Principal Data Scientist is a highly motivated and experienced individual proficient in advanced machine learning models, particularly language models, document understanding and analysis, and code generation. The role will involve understanding and adapting current research. The position requires a deep understanding of computational linguistics, image processing, and Python programming. The selected candidate will be part of a collaborative team dedicated to building, fine-tuning, and deploying state-of-the-art models to solve real-world problems in information management, data intelligence, content automation, audit, and analytics. This presents an opportunity to create tremendous business value as we assemble a world-class applied machine learning team.

You will set the team up for success, defining best practices, illustrating canonical methods, designing roadmaps, and recommending the best technologies for the task at hand.
The base salary range for this role is $144,200.00 - $180,250.00 /year. Exact compensation may vary based on skills, experience, and location.
.",4.1,"Rocket Software
4.2",United States,1001 to 5000 Employees,1990,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Statistician- Data Scientist III- PCAPP,Employer Provided Salary:$105K - $135K,"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
Job Summary
We are currently seeking a Statistician. This position is in Pueblo, CO.",3.9,"Battelle
3.9","Pueblo, CO",1001 to 5000 Employees,1929,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD)
Data Scientist,Employer Provided Salary:$40.00 - $50.00 Per Hour,"As a Data Scientist at Comcast, you will play a pivotal role in designing, solutioning, and implementing data solutions while leveraging your analytical prowess to extract meaningful insights. You will also be responsible for presenting your findings to both technical and non-technical stakeholders and leading collaborative efforts within cross-functional teams.Your key responsibilities include:
Design, construct, install, and maintain data pipelines for optimal extraction, transformation, and loading (ETL) of data from various sources.
· Develop scalable and efficient data pipelines to facilitate the collection, storage, and processing of large volumes of structured and unstructured data.
· Apply advanced statistical analysis, machine learning, and data mining techniques to derive actionable insights from complex datasets.
· Develop and implement predictive, prescriptive and inferential models to solve business challenges and drive decision-making processes.
· Must be good with collaborating with technical and non-technical stakeholders to effectively understand the business challenge, use case and structure the discussion in succinct format for driving next steps.
· Collaborate with domain experts to understand business requirements and translate them into data-driven solutions.
· Communicate complex technical concepts and analytical findings effectively to both technical and non-technical stakeholders.
· Create visually compelling presentations, reports, and dashboards to convey insights and recommendations.
· Lead workshops, meetings, and discussions to drive alignment and understanding across teams.
· Provide strategic guidance and contribute to the development of data-driven strategies within the organization.
Qualifications:
· Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field.
· Proven experience (6+ years) as a data engineer and data scientist, preferably in a fast-paced technology or analytics-driven environment.
· Experience in leveraging Graph data science concepts to solve business use cases a must.
· Strong proficiency in data engineering tools and languages (e.g., SQL, Python, Scala, ETL frameworks, data warehousing).
· Comfortable and experienced working in Databricks, Spark environment.
· Extensive experience with machine learning frameworks (e.g., TensorFlow, H2O) and data science libraries (e.g., SparkML).
· Ability to develop visualizations, as necessary to present insights, metrics and how this informs addressing the business challenge.
· Excellent presentation and communication skills, with the ability to convey technical concepts to non-technical audiences.
· Experience in a networking or communications domain is a plus.
· Experience interacting with other technical and non-technical stakeholders to collaborate on efforts like solutioning, understanding other data domains in order to source data is a must.",-1,TechCoreGlobal,"Philadelphia, PA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,$79K - $109K (Glassdoor est.),"A career at Auto-Owners is challenging and rewarding. Our group of caring associates create financial security by helping individuals and businesses make a new start when a loss occurs.
Job Description
We offer a merit-based work-from-home program based on job responsibilities. After initial training in-person, this specific role could have the flexibility to work from home up to 3 days per week.
Auto-Owners Insurance, a top-rated insurance carrier, is seeking a data scientist to join our analytics teams. The position requires the person to:
Use statistical and machine learning techniques to build models that address business needs and comply with regulatory requirements
Work with large, complex data sets and develop a comprehensive knowledge of Auto-Owners data structures and metrics",3.6,"Auto-Owners Insurance
3.6","Lansing, MI",5001 to 10000 Employees,1916,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
"Data Scientist, Analytics - Ads",Employer Provided Salary:$100K - $140K,"About Quizlet:

Inspired by our belief that anyone can learn anything and powered by our own curiosity, we build the smartest tools we can imagine to help students learn.

Quizlet is the popular, global learning platform and app that millions of students, teachers and everyday people use to study any subject imaginable for school, work or as part of their personal interests - including two-thirds of high school students and half of all college students in the US. Combining cognitive science and machine learning, Quizlet guides students through adaptive study activities to confidently reach their learning goals. We’re on track to become the undisputed leader in user-generated learning content and engagement, at the scale of YouTube.

Valued at $1 billion, Quizlet has raised over $60 million in venture capital from investors including Icon Ventures, Union Square Ventures, General Atlantic, Costanoa Ventures, Owl Ventures, and Altos Ventures.",3.8,"Quizlet
3.8","New York, NY",201 to 500 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$110K - $113K,"Greetings from KonnectingTree!
We are looking for a full-stack Data Scientist for a full-time position. Kindly go through the job description and let me know if interested.
Job Description:
Strong Python skills.
▪ Experience with popular tools and libraries in the Python data science and machine learning ecosystem: eg pandas, Jupyter, scikit-learn, darts, Matplotlib, Plotly, XGBoost, Optuna, dask.
▪ Experience training and tuning machine learning models.",-1,Konnectingtree,Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Customer Success Manager,-1,"Description
We are looking for empathetic, customer-centric individuals to join our team! Customer Success Managers at Toloka covers the end-to-end engagement for enterprise clients, working closely with Account Managers and Solution Engineers to understand the client’s business goals, craft a solution proposal, and deliver the solution in a project-management style. In other words, you will jointly define “value” with the client and you will ensure delivery of this value through a joint success plan.
As you are responsible for the experience the client has with Toloka from day one, you’ll be building meaningful relationships based on the trust that you are the agent of the client’s interest. Ultimately, you impact the businesses of our customers by helping them realize their AI/ML goals, be it in the scope of data labeling / crowd usage or in a bigger scope. If you are a strong communicator with a good AI/ML background, love to work independently in a fast-paced and always-changing environment, and enjoy building relationships with your customers, this role is for you!",4.0,Toloka,Remote,201 to 500 Employees,2014,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
-1,Employer Provided Salary:$87K - $108K,-1,3.9,-1,-1,10000+ Employees,1787,College / University,Colleges & Universities,Education,Less than $1 million (USD)
-1,Employer Provided Salary:$99K - $129K,-1,3.7,-1,-1,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$125K - $129K,"Title: Data Scientist with Secret Clearance
Location: Ford Gordon, GA
Experience: 5+years
Duration: FullTime
Visa: US Citizen with Active Secret Clearance
If you are interested in position, please share your updated resume on praneetha@otssolutions.com
Job Description:",4.6,"OTS Solutions
4.6","Gordon, GA",51 to 200 Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$107K - $157K (Glassdoor est.),"Company Description

McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries that serve 70 million customers daily. As the global leader in the food service industry, our legacy of innovation and hard work continues to drive us.
From drive thru updates to delivery to mobile order and pay, we are innovating quickly and growing. Joining McDonald's means thinking big and preparing for a career that can have influence around the world.
At McDonald’s, we see every day as a chance to create positive impact. We lead through our values centered on inclusivity, service, integrity, community and family. From support of Ronald McDonald House Charities to our Youth Opportunity project and sustainability initiatives, our values keep us dedicated to using our scale for good: good for our customers, people, industry and planet. We also offer outstanding benefits including a sabbatical program, tuition assistance and flexible work arrangements.",3.5,"McDonald's Corporation
3.5","Chicago, IL",10000+ Employees,1955,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
