ranking,title,year,duration,genre,rating,directors,votes
"6,531.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.4,,53
"6,532.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,,42
"6,533.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.2,"Ross Clyde,Brett Dowler,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau",55
"6,534.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",6.7,,90
"6,535.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,,47
"6,536.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",5.5,,35
"6,537.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.4,,34
"6,538.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,,41
"6,539.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,48
"6,540.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.9,,44
"6,541.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",5.7,,33
"6,542.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",7.1,,81
"6,543.", Earth: Final Conflict,(1997–2002),41 min,"Action, Drama, Mystery",6.2,"Milan Cheylov,Tibor Takács,Kevin Kilner,Lisa Howard,Von Flores,Richard Chevolleau",73
"6,544.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.9,,46
"6,545.", Earth: Final Conflict,(1997–2002),41 min,"Action, Drama, Mystery",6.5,,79
"6,546.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.5,,45
"6,547.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,"Ross Clyde,Vincenzo Natali,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau",55
"6,548.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,41
"6,549.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.1,,38
"6,550.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.2,,72
"6,551.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",5.7,,37
"6,552.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,36
"6,553.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",6.8,,79
"6,554.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,,38
"6,555.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.1,,45
"6,556.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",6.8,,97
"6,557.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7,,62
"6,558.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7,,37
"6,559.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",6.4,,89
"6,560.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.2,,53
"6,561.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.7,,42
"6,562.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.8,,46
"6,563.", Earth: Final Conflict,(1997–2002),41 min,"Action, Drama, Mystery",6.7,,74
"6,564.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",5.2,,37
"6,565.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.8,,50
"6,566.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7,,40
"6,567.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.4,,42
"6,568.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6,"Allan Kroeker,Neill Fearnley,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau",54
"6,569.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",7,,85
"6,570.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.3,,43
"6,571.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",7.4,,86
"6,572.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,40
"6,573.", Earth: Final Conflict,(1997–2002),42 min,"Action, Drama, Mystery",6.7,,79
"6,574.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,50
"6,575.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",7.1,,38
"6,576.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.6,,38
"6,577.", Earth: Final Conflict,(1997–2002),43 min,"Action, Drama, Mystery",6.8,"James Head,Ross Clyde,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo""",54
"2,550.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,416
"2,551.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.7,,295
"2,552.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.4,,286
"2,553.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7,,283
"2,554.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.5,,290
"2,555.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.9,,321
"2,556.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.2,,552
"2,557.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.5,,324
"2,558.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8.4,,362
"2,559.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",6.8,,385
"2,560.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,795
"2,561.", Batman,(1966–1968),22 min,"Action, Adventure, Comedy",7.5,,371
"2,562.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8.4,,386
"2,563.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8.1,,342
"2,564.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.7,,310
"2,565.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.1,,308
"2,566.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.1,,299
"2,567.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.9,,432
"2,568.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.9,,383
"2,569.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8.1,,342
"2,570.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,319
"2,571.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.2,,336
"2,572.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.3,,341
"2,573.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.4,,291
"2,574.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,406
"2,575.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.3,,336
"2,576.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.5,,357
"2,577.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.4,,294
"2,578.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",6.9,,299
"2,579.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.3,,296
"2,580.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.1,,290
"2,581.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.3,,300
"2,582.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.4,,280
"2,583.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.4,,285
"2,584.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.5,,355
"2,585.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.5,,326
"2,586.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.2,,292
"2,587.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.7,,501
"2,588.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,629
"2,589.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.6,,401
"2,590.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.9,,287
"2,591.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.3,,291
"2,592.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8,,318
"2,593.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",8.1,,304
"2,594.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.4,,321
"2,595.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.2,,301
"2,596.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.4,,289
"2,597.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.2,,362
"2,598.", Batman,(1966–1968),25 min,"Action, Adventure, Comedy",7.1,,293
"2,599.", Batman,(1966–1968),24 min,"Action, Adventure, Comedy",7.2,,309
"8,670.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",8.1,,11
"8,671.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.7,,12
"8,672.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,19
"8,673.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.1,,10
"8,674.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,14
"8,675.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.8,,13
"8,676.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,13
"8,677.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.4,,11
"8,678.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,13
"8,679.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.7,,12
"8,680.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,10
"8,681.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,11
"8,682.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.1,,17
"8,683.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.5,,14
"8,684.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.2,,20
"8,685.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.1,,18
"8,686.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.7,,17
"8,687.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.5,,11
"8,688.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.1,,12
"8,689.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.9,,10
"8,690.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.7,,10
"8,691.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,9
"8,692.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.7,,14
"8,693.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,12
"8,694.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,12
"8,695.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.4,,8
"8,696.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,11
"8,697.", Hawaiian Eye,(1959–1963),45 min,"Action, Adventure, Crime",8.4,,20
"8,698.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,14
"8,699.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,14
"8,700.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.9,,12
"8,701.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7,,10
"8,702.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.2,,19
"8,703.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.1,,14
"8,704.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,14
"8,705.", Hawaiian Eye,(1959–1963),48 min,"Action, Adventure, Crime",7.7,,18
"8,706.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.1,,13
"8,707.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.2,,30
"8,708.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.4,,11
"8,709.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.7,,19
"8,710.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.9,,11
"8,711.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.8,,13
"8,712.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,22
"8,713.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",6.6,,14
"8,714.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,15
"8,715.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.6,,22
"8,716.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.5,,14
"8,717.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",8.3,,18
"8,718.", Hawaiian Eye,(1959–1963),60 min,"Action, Adventure, Crime",7.3,,11
"8,719.", Hawaiian Heat,(1984),,,,"Michael Vejar,Victoria Tarazi,Robert Ginty,Jeff McCracken,Tracy Scoggins,Branscombe Richmond,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo""",
"2,703.", Batman: The Animated Series,(1992–1995),22 min,"Animation, Action, Adventure",9,,3279
"2,704.", Batman: The Animated Series,(1992–1995),22 min,"Animation, Action, Adventure",7,,1551
"2,705.", Batman: The Animated Series,(1992–1995),22 min,"Animation, Action, Adventure",7.6,,1736
"2,706.", Batman: The Animated Series,(1992–1995),22 min,"Animation, Action, Adventure",7.8,,1483
"2,707.", Batman: The Animated Series,(1992–1995),22 min,"Animation, Action, Adventure",7.8,"Dan Riba,Dick Sebast,Kevin Conroy,Efrem Zimbalist Jr.,Julie Brown,Zale Kessler",1450
"2,708.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.2,,171
"2,709.", The Batman,(2004–2008),22 min,"Animation, Action, Adventure",7.5,,191
"2,710.", The Batman,(2004–2008),22 min,"Animation, Action, Adventure",7.5,,182
"2,711.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.3,,208
"2,712.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7,,164
"2,713.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.9,,295
"2,714.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",8.1,,230
"2,715.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7,,182
"2,716.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.9,,173
"2,717.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.8,,158
"2,718.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.4,,182
"2,719.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.6,,180
"2,720.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.7,,177
"2,721.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",8.2,,191
"2,722.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.9,,171
"2,723.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.8,,212
"2,724.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7,,171
"2,725.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.5,,175
"2,726.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.7,,203
"2,727.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",8.1,,198
"2,728.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",6.9,,173
"2,729.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.3,,386
"2,730.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.2,,249
"2,731.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",6.9,,211
"2,732.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.1,,213
"2,733.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7,,171
"2,734.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.6,,257
"2,735.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.3,,193
"2,736.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",8,,222
"2,737.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.1,,158
"2,738.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.1,,255
"2,739.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.7,,217
"2,740.", The Batman,(2004–2008),20 min,"Animation, Action, Adventure",7.1,,208
"2,741.", The Batman,(2004–2008),21 min,"Animation, Action, Adventure",7.3,,291
"2,742.", The Adventures of Batman,(1968–1969),23 min,"Animation, Action, Adventure",5.9,"Hal Sutherland,Anatole Kirsanoff,Bud Collyer,Bob Hastings,Jackson Beck,Jack Grimes",46
"2,743.", The New Batman Adventures,(1997–1999),21 min,"Animation, Action, Adventure",6.8,,604
"2,744.", The New Batman Adventures,(1997–1999),21 min,"Animation, Action, Adventure",7.8,,706
"2,745.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",7.5,,623
"2,746.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",7.4,,717
"2,747.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",5.7,,638
"2,748.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",6.9,,630
"2,749.", The New Batman Adventures,(1997–1999),21 min,"Animation, Action, Adventure",8.1,,720
"2,750.", The New Batman Adventures,(1997–1999),21 min,"Animation, Action, Adventure",7.7,,685
"2,751.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",8.4,,790
"2,752.", The New Batman Adventures,(1997–1999),22 min,"Animation, Action, Adventure",7.6,,842
"9,588.", Homicide,(1964–1977),,,,"Ken Fitzgerald,Gary Conway,Alwyn Kurts,Leonard Teale,Lionel Long,George Mallaby",
"9,589.", Homicide,(1964–1977),,,,,
"9,590.", Homicide,(1964–1977),,,,"Alex Emanuel,Andrew Swanson,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,591.", Homicide,(1964–1977),,,,,
"9,592.", Homicide,(1964–1977),,,,"Alex Emanuel,George Miller,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,593.", Homicide,(1964–1977),,,,"Alex Emanuel,Ian Bennett,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,594.", Homicide,(1964–1977),,,,"Alex Emanuel,Gary Conway,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,595.", Homicide,(1964–1977),,,,"Alex Emanuel,Gary Conway,John Fegan,Leonard Teale,Lionel Long,George Mallaby",
"9,596.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,Ian Jones,Terry McDermott,John Fegan,Leonard Teale,Peter Armstrong",
"9,597.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,Leonard Teale,John Fegan,Terry McDermott,Dennis Clinton",
"9,598.", Homicide,(1964–1977),,,,"Graeme Arthur,David Pulbrook,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,599.", Homicide,(1964–1977),,,,"Alex Emanuel,George Miller,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,600.", Homicide,(1964–1977),,,,"Alex Emanuel,Richard Franklin,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,601.", Homicide,(1964–1977),,,,"Graeme Arthur,Peter Bray,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,602.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,John Fegan,Leonard Teale,Les Dayman,Dulcie Davenport",
"9,603.", Homicide,(1964–1977),,,,"Alex Emanuel,George Miller,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,604.", Homicide,(1964–1977),,,,"Bill Catmull,Igor Auzins,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,605.", Homicide,(1964–1977),,,,,
"9,606.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,Ian Jones,John Fegan,Leonard Teale,Les Dayman,Robin Cuming",
"9,607.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,John Fegan,Leonard Teale,Les Dayman,Blaise Antony",
"9,608.", Homicide,(1964–1977),,,,"Alex Emanuel,Ian Bennett,Bruce Ross-Smith,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,609.", Homicide,(1964–1977),,,,"Alex Emanuel,David Lee,John Fegan,Leonard Teale,Les Dayman,George Mallaby",
"9,610.", Homicide,(1964–1977),,,,"Alex Emanuel,Ian Bennett,Alwyn Kurts,Leonard Teale,Norman Yemm,George Mallaby",
"9,611.", Homicide,(1964–1977),,,,,
"9,612.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,John Fegan,Leonard Teale,Les Dayman,Peter Adams",
"9,613.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,John Fegan,Leonard Teale,Les Dayman,David Ansell",
"9,614.", Homicide,(1964–1977),,,,,
"9,615.", Homicide,(1964–1977),,,,,
"9,616.", Homicide,(1964–1977),,,,"Alex Emanuel,David Lee,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,617.", Homicide,(1964–1977),,,,,
"9,618.", Homicide,(1964–1977),,,,"Athol Charlwood,Andrew Swanson,John Fegan,Leonard Teale,Les Dayman,John Barnes",
"9,619.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,Ian Jones,Leonard Teale,John Fegan,Terry McDermott,Elliott Cairnes",
"9,620.", Homicide,(1964–1977),,,,"Bill Catmull,David Stevens,Alwyn Kurts,Leonard Teale,Michael Preston,George Mallaby",
"9,621.", Homicide,(1964–1977),,,,,
"9,622.", Homicide,(1964–1977),50 min,"Action, Crime, Drama",,,
"9,623.", Homicide,(1964–1977),,,,,
"9,624.", Homicide,(1964–1977),,,,,
"9,625.", Homicide,(1964–1977),,,,"Bruce Ross-Smith,David Lee,John Fegan,Leonard Teale,Les Dayman,John Darcy",
"9,626.", L'homme d'Amsterdam,(1976),56 min,Action,,"John van de Rest,Victor Vicas,Pierre Vaneck,Maxim Hamel,Josine van Dalsum,Steye van Brandenberg",
"9,627.", L'homme d'Amsterdam,(1976),,,,"John van de Rest,Victor Vicas,Pierre Vaneck,Josine van Dalsum,Maxim Hamel,Pim Dikkers",
"9,628.", Honey West,(1965–1966),25 min,"Action, Crime, Drama",7.2,,72
"9,629.", Honey West,(1965–1966),25 min,"Action, Crime, Drama",7.1,,55
"9,630.", Honey West,(1965–1966),30 min,"Action, Crime, Drama",6.7,,56
"9,631.", Honey West,(1965–1966),25 min,"Action, Crime, Drama",6.9,,51
"9,632.", Honey West,(1965–1966),30 min,"Action, Crime, Drama",6.6,,54
"9,633.", Honey West,(1965–1966),25 min,"Action, Crime, Drama",7.8,,45
"9,634.", Honey West,(1965–1966),30 min,"Action, Crime, Drama",7,,46
"9,635.", Honey West,(1965–1966),30 min,"Action, Crime, Drama",6.6,,45
"9,636.", Honey West,(1965–1966),25 min,"Action, Crime, Drama",7,,54
"9,637.", Honey West,(1965–1966),30 min,"Action, Crime, Drama",7.1,,63
"5,814.", Dead at 21,(1994),,,6,"Ralph Hemecker,Robert Jason,Jack Noseworthy,Lisa Dean Ryan,Whip Hubley,Adam Scott",8
"5,815.", Dead at 21,(1994),,,,,
"5,816.", Dead at 21,(1994),,,,,
"5,817.", Deadly Games,(1995–1996),,,5.7,,12
"5,818.", Deadly Games,(1995–1996),,,6.2,,8
"5,819.", Deadly Games,(1995–1996),,,,,
"5,820.", Deadly Games,(1995–1996),,,7,,6
"5,821.", Deadly Games,(1995–1996),,,4.4,,7
"5,822.", Deadly Games,(1995–1996),,,6.7,,9
"5,823.", Deadly Games,(1995–1996),,,6.6,,7
"5,824.", Deadly Games,(1995–1996),60 min,"Action, Comedy, Sci-Fi",6,,8
"5,825.", Deadly Games,(1995–1996),60 min,"Action, Comedy, Sci-Fi",5.4,,7
"5,826.", Deadly Games,(1995–1996),,,,,
"5,827.", Deadly Games,(1995–1996),,,6.7,,10
"5,828.", Deadly Games,(1995–1996),,,,,
"5,829.", Defenders of the Earth,(1986–1991),21 min,"Animation, Action, Adventure",7.2,"John Gibbs,Ray Lee,William Callaway,Adam Carl,Ron Feinberg,Buster Jones",17
"5,830.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",7.6,,39
"5,831.", Digimon Tamers,(2001–2002),21 min,"Animation, Action, Adventure",7.9,,37
"5,832.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",7.2,,37
"5,833.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",7.2,,39
"5,834.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",8.1,,38
"5,835.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",7.4,,36
"5,836.", Digimon Tamers,(2001–2002),25 min,"Animation, Action, Adventure",7.4,,42
"5,837.", Digimon Adventure 02,(2000–2001),,,8.1,,34
"5,838.", Digimon Adventure 02,(2000–2001),,,7.1,,30
"5,839.", Digimon Adventure 02,(2000–2001),,,7.5,,29
"5,840.", Digimon Adventure 02,(2000–2001),,,7.6,,32
"5,841.", Digimon Adventure 02,(2000–2001),,,7.8,,29
"5,842.", Digimon Adventure 02,(2000–2001),,,7.6,,29
"5,843.", Digimon Adventure 02,(2000–2001),,,7.3,,31
"5,844.", Digimon Adventure 02,(2000–2001),,,7.8,,29
"5,845.", Digimon Adventure 02,(2000–2001),,,7.5,,29
"5,846.", Digimon Adventure,(1999–2000),24 min,"Animation, Action, Adventure",7.3,,51
"5,847.", Digimon Adventure,(1999–2000),24 min,"Animation, Action, Adventure",7.4,,50
"5,848.", Digimon Adventure,(1999–2000),,,8.2,,48
"5,849.", Digimon Adventure,(1999–2000),24 min,"Animation, Action, Adventure",7.7,,60
"5,850.", Digimon Adventure,(1999–2000),24 min,"Animation, Action, Adventure",7.4,,59
"5,851.", Digimon Adventure,(1999–2000),,,8,,49
"5,852.", Digimon Adventure,(1999–2000),,,7.7,,49
"5,853.", Digimon Adventure,(1999–2000),24 min,"Animation, Action, Adventure",7.7,,50
